dataset,model_key,loss,eval_split,baseline,strategy,metric,n_seeds,n_queries_min,baseline_mean,strategy_mean,mean_diff,seed_sd_diff,paired_effect_dz,seed_win_rate,hierarchical_ci95_low,hierarchical_ci95_high
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,MRR@10,10,500,0.14051142857142856,0.2758614285714286,0.13535,0.020160434613190434,6.713644948479637,1.0,0.12143906944444444,0.14995238888888887
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,MAP@100,10,500,0.13729125284948035,0.26760128994607096,0.13031003709659064,0.016875010780959765,7.722071338977791,1.0,0.11850658353322106,0.14265488780130023
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-matched-mixed,Recall@100,10,500,0.5218868437118437,0.8041152494727495,0.2822284057609058,0.03265140837389978,8.643682457094494,1.0,0.2588800060286935,0.30339121665834157
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,NDCG@10,10,500,0.15474376279781318,0.3030658596111976,0.14832209681338437,0.018389999476370992,8.065367103678334,1.0,0.13555262198881732,0.16177546442422747
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,MRR@10,10,500,0.14051142857142856,0.28481357142857144,0.14430214285714288,0.017279551356523246,8.351035271680653,1.0,0.13110721428571426,0.1574219484126984
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,MAP@100,10,500,0.13729125284948035,0.27471250293181737,0.13742125008233705,0.015276750038652963,8.995450585670135,1.0,0.1261099131879978,0.14862543365714903
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-mixed,Recall@100,10,500,0.5218868437118437,0.8089884582084583,0.2871016144966145,0.01738732573554846,16.512120314720626,1.0,0.272138523497336,0.3027048654193029
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,NDCG@10,10,500,0.15474376279781318,0.18352327951005826,0.02877951671224508,0.019531015369005995,1.4735289573278225,1.0,0.016767601507454644,0.042158726075570446
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,MRR@10,10,500,0.14051142857142856,0.16897531746031746,0.02846388888888889,0.020386031776689136,1.3962447032696457,1.0,0.015767708333333335,0.042490998015873006
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,MAP@100,10,500,0.13729125284948035,0.16293256707818313,0.025641314228702798,0.019510164575669724,1.3142541227293882,1.0,0.01387713041654195,0.03861791372719682
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-no-ontology,Recall@100,10,500,0.5218868437118437,0.5767713067488067,0.05488446303696304,0.03941151310299995,1.3925997434690045,0.9,0.030827770770895775,0.07835035501998003
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,NDCG@10,10,500,0.15474376279781318,0.17442403474019852,0.019680271942385343,0.012581930493300924,1.5641695010844188,0.9,0.010570225775763034,0.028151784299595365
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,MRR@10,10,500,0.14051142857142856,0.16137333333333334,0.020861904761904762,0.017657917084901997,1.181447656685525,0.9,0.009462160714285715,0.032989523809523795
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,MAP@100,10,500,0.13729125284948035,0.154048271346302,0.016757018496821638,0.013839792067485493,1.2107854233005226,0.9,0.00754736927589341,0.025829339105951837
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-shuffled-graph,Recall@100,10,500,0.5218868437118437,0.5665914183039182,0.044704574592074595,0.02579486883602168,1.7330801283100976,1.0,0.028210266143578643,0.06242776470751469
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,500,0.15474376279781318,0.32801595834076386,0.17327219554295065,0.023537303392364647,7.361599273056873,1.0,0.15805028401863086,0.18926800607515834
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,500,0.14051142857142856,0.303083253968254,0.1625718253968254,0.022996874029888335,7.0693010356771,1.0,0.14655615873015873,0.1787598313492063
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,500,0.13729125284948035,0.29800155868516415,0.1607103058356838,0.020294821287740426,7.918783987162514,1.0,0.14676162061916875,0.17471127926224406
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,500,0.5218868437118437,0.8808340670440671,0.35894722333222334,0.02834700030278179,12.662617543239614,1.0,0.3378123617077367,0.37953460118353866
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,500,0.15474376279781318,0.30200503391694133,0.14726127111912818,0.02043212750234084,7.207339084109423,1.0,0.1335118802713191,0.16156740772003356
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,500,0.14051142857142856,0.2869028571428571,0.14639142857142856,0.016677661561073618,8.777695124423946,1.0,0.13332557539682538,0.1595077222222222
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,500,0.13729125284948035,0.2700160348660979,0.13272478201661753,0.017659551279894204,7.515750537089109,1.0,0.12041611061090914,0.1455613325930606
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,500,0.5218868437118437,0.7164457595182595,0.19455891580641582,0.03304449016772136,5.887786884255384,1.0,0.17319607559801312,0.21686264917027417
